Date,QBTS,SOFI,SPY
2022-04-25,9.899999618530273,6.550000190734863,404.44580078125
2022-04-26,9.899999618530273,6.289999961853027,392.73272705078125
2022-04-27,9.895000457763672,6.150000095367432,393.8370056152344
2022-04-28,9.890000343322754,6.449999809265137,403.78515625
2022-04-29,9.890000343322754,6.119999885559082,388.86297607421875
2022-05-02,9.899999618530273,6.329999923706055,391.2037048339844
2022-05-03,9.890000343322754,6.400000095367432,392.99700927734375
2022-05-04,9.890000343322754,7.139999866485596,404.96490478515625
2022-05-05,9.890000343322754,6.829999923706055,390.5713195800781
2022-05-06,9.880000114440918,6.440000057220459,388.239990234375
2022-05-09,9.880000114440918,5.96999979019165,375.8096008300781
2022-05-10,9.869999885559082,5.25,376.6778869628906
2022-05-11,9.869999885559082,5.489999771118164,370.6940612792969
2022-05-12,9.859999656677246,5.659999847412109,370.3070373535156
2022-05-13,9.869999885559082,6.75,379.1602478027344
2022-05-16,9.869999885559082,6.909999847412109,377.6218566894531
2022-05-17,9.869999885559082,7.050000190734863,385.38958740234375
2022-05-18,9.880000114440918,7.230000019073486,369.8539733886719
2022-05-19,9.869999885559082,7.75,367.5887451171875
2022-05-20,9.869999885559082,7.489999771118164,367.74920654296875
2022-05-23,9.869999885559082,7.269999980926514,374.62982177734375
2022-05-24,9.880000114440918,6.71999979019165,371.7699890136719
2022-05-25,9.880000114440918,7.010000228881836,375.0545654296875
2022-05-26,9.880000114440918,7.139999866485596,382.54864501953125
2022-05-27,9.880000114440918,7.550000190734863,391.9398498535156
2022-05-31,9.880000114440918,7.480000019073486,389.7407531738281
2022-06-01,9.890000343322754,7.050000190734863,386.5882873535156
2022-06-02,9.890000343322754,7.420000076293945,393.9503173828125
2022-06-03,9.890000343322754,6.980000019073486,387.4850158691406
2022-06-06,9.880000114440918,6.860000133514404,388.66485595703125
2022-06-07,9.890000343322754,6.860000133514404,392.3929443359375
2022-06-08,9.890000343322754,6.659999847412109,388.12677001953125
2022-06-09,9.899999618530273,6.110000133514404,378.8960876464844
2022-06-10,9.899999618530273,5.940000057220459,367.9096374511719
2022-06-13,9.880000114440918,5.610000133514404,353.9408264160156
2022-06-14,9.890000343322754,5.925000190734863,352.874267578125
2022-06-15,9.890000343322754,5.940000057220459,357.9049072265625
2022-06-16,9.890000343322754,5.46999979019165,346.0596923828125
2022-06-17,9.890000343322754,5.699999809265137,346.8057556152344
2022-06-21,9.899999618530273,5.71999979019165,355.5361022949219
2022-06-22,9.890000343322754,5.599999904632568,354.89154052734375
2022-06-23,9.890000343322754,5.78000020980835,358.370361328125
2022-06-24,9.899999618530273,6.130000114440918,369.7643127441406
2022-06-27,9.90999984741211,5.929999828338623,368.3519592285156
2022-06-28,9.90999984741211,5.559999942779541,360.82550048828125
2022-06-29,9.90999984741211,5.539999961853027,360.53167724609375
2022-06-30,9.90999984741211,5.269999980926514,357.6025085449219
2022-07-01,9.920000076293945,5.409999847412109,361.384765625
2022-07-05,9.90999984741211,5.840000152587891,362.0672912597656
2022-07-06,9.90999984741211,5.900000095367432,363.2900695800781
2022-07-07,9.90999984741211,6.260000228881836,368.7311096191406
2022-07-08,9.930000305175781,6.190000057220459,368.42779541015625
2022-07-11,9.930000305175781,6.010000228881836,364.2190246582031
2022-07-12,9.9399995803833,6.039999961853027,360.9961242675781
2022-07-13,9.949999809265137,5.949999809265137,359.1001892089844
2022-07-14,9.979999542236328,5.909999847412109,358.2282409667969
2022-07-15,9.979999542236328,6.289999961853027,365.07208251953125
2022-07-18,9.970000267028809,6.349999904632568,362.05780029296875
2022-07-19,9.975000381469727,6.619999885559082,371.8403015136719
2022-07-20,9.970000267028809,6.96999979019165,374.2100830078125
2022-07-21,9.989999771118164,7.039999961853027,378.020751953125
2022-07-22,10.0,6.619999885559082,374.5134582519531
2022-07-25,9.979999542236328,6.460000038146973,374.9684143066406
2022-07-26,9.979999542236328,6.139999866485596,370.53216552734375
2022-07-27,9.979999542236328,6.440000057220459,380.15362548828125
2022-07-28,8.720000267028809,6.300000190734863,384.9216003417969
2022-07-29,8.760000228881836,6.309999942779541,390.533203125
2022-08-01,8.770000457763672,6.360000133514404,389.3768310546875
2022-08-02,8.649999618530273,6.409999847412109,386.80792236328125
2022-08-03,8.680000305175781,8.229999542236328,392.8652038574219
2022-08-04,8.680000305175781,8.229999542236328,392.5997314453125
2022-08-05,8.65999984741211,7.960000038146973,391.9361877441406
2022-08-08,10.0,7.980000019073486,391.4812316894531
2022-08-09,12.399999618530273,7.389999866485596,389.92657470703125
2022-08-10,12.109999656677246,7.809999942779541,398.1166076660156
2022-08-11,11.859999656677246,7.420000076293945,398.1166076660156
2022-08-12,10.859999656677246,7.650000095367432,404.8563232421875
2022-08-15,10.699999809265137,7.619999885559082,406.5247497558594
2022-08-16,10.460000038146973,7.579999923706055,407.3209533691406
2022-08-17,10.369999885559082,6.880000114440918,404.4297180175781
2022-08-18,10.069999694824219,6.679999828338623,405.60516357421875
2022-08-19,8.949999809265137,6.329999923706055,400.15460205078125
2022-08-22,8.220000267028809,6.099999904632568,391.8224182128906
2022-08-23,8.119999885559082,6.170000076293945,390.8745422363281
2022-08-24,8.399999618530273,6.449999809265137,392.125732421875
2022-08-25,8.529999732971191,6.690000057220459,397.66162109375
2022-08-26,9.079999923706055,6.179999828338623,384.20111083984375
2022-08-29,7.800000190734863,6.0,381.66070556640625
2022-08-30,7.050000190734863,5.909999847412109,377.4709167480469
2022-08-31,6.679999828338623,5.920000076293945,374.5987243652344
